#Category;Date;Start;Stop;Comment
Mechanical Inspection;2024-08-12;15:15;16:30;Car 99 Inspection Bay 23
Mechanical Inspection;2024-08-12;15:15;16:30;Car 31 Inspection Bay 33
Mechanical Inspection;2024-08-12;15:15;16:30;Car 15 Inspection Bay 34
Mechanical Inspection;2024-08-12;17:00;18:15;Car 49 Inspection Bay 1
Mechanical Inspection;2024-08-12;17:00;18:15;Car 313 Inspection Bay 11
Mechanical Inspection;2024-08-12;17:00;18:15;Car 41 Inspection Bay 12
Mechanical Inspection;2024-08-12;17:00;18:15;Car 340 Inspection Bay 22
Mechanical Inspection;2024-08-12;17:00;18:15;Car 43 Inspection Bay 23
Mechanical Inspection;2024-08-12;17:00;18:15;Car 35 Inspection Bay 33
Mechanical Inspection;2024-08-12;17:00;18:15;Car 11 Inspection Bay 34
Accumulator Inspection;2024-08-12;17:00;18:45;Car 74 Inspection Bay 24
Accumulator Inspection;2024-08-12;17:00;18:45;Car 171 Inspection Bay 25
Accumulator Inspection;2024-08-12;17:00;18:45;Car 29 Inspection Bay 26
Accumulator Inspection;2024-08-12;17:00;18:45;Car 34 Inspection Bay 27
Accumulator Inspection;2024-08-12;17:00;18:45;Car 47 Inspection Bay 28
Accumulator Inspection;2024-08-12;17:00;18:45;Car 48 Inspection Bay 29
Accumulator Inspection;2024-08-12;17:00;18:45;Car 98 Inspection Bay 30
Accumulator Inspection;2024-08-12;17:00;18:45;Car 46 Inspection Bay 31
Accumulator Inspection;2024-08-12;17:00;18:45;Car 60 Inspection Bay 32
Accumulator Inspection;2024-08-12;17:00;18:45;Car 28 Inspection Bay 35
Accumulator Inspection;2024-08-12;17:00;18:45;Car 26 Inspection Bay 36
Accumulator Inspection;2024-08-12;17:00;18:45;Car 72 Inspection Bay 37
Accumulator Inspection;2024-08-12;17:00;18:45;Car 77 Inspection Bay 38
Accumulator Inspection;2024-08-12;17:00;18:45;Car 94 Inspection Bay 39
Accumulator Inspection;2024-08-12;17:00;18:45;Car 167 Inspection Bay 40
Accumulator Inspection;2024-08-12;17:00;18:45;Car 65 Inspection Bay 41
Accumulator Inspection;2024-08-12;17:00;18:45;Car 115 Inspection Bay 42
Accumulator Inspection;2024-08-12;17:00;18:45;Car 130 Inspection Bay 43
Mechanical Inspection;2024-08-12;18:30;19:45;Car 200 Inspection Bay 1
Mechanical Inspection;2024-08-12;18:30;19:45;Car 67 Inspection Bay 11
Mechanical Inspection;2024-08-12;18:30;19:45;Car 111 Inspection Bay 12
Mechanical Inspection;2024-08-12;18:30;19:45;Car 84 Inspection Bay 22
Mechanical Inspection;2024-08-12;18:30;19:45;Car 23 Inspection Bay 23
Mechanical Inspection;2024-08-12;18:30;19:45;Car 25 Inspection Bay 33
Mechanical Inspection;2024-08-12;18:30;19:45;Car 140 Inspection Bay 34
Mechanical Inspection;2024-08-13;09:00;10:15;Car 100 Inspection Bay 1
Mechanical Inspection;2024-08-13;09:00;10:15;Car 40 Inspection Bay 11
Mechanical Inspection;2024-08-13;09:00;10:15;Car 76 Inspection Bay 12
Mechanical Inspection;2024-08-13;09:00;10:15;Car 173 Inspection Bay 22
Mechanical Inspection;2024-08-13;09:00;10:15;Car 224 Inspection Bay 23
Mechanical Inspection;2024-08-13;09:00;10:15;Car 122 Inspection Bay 33
Mechanical Inspection;2024-08-13;09:00;10:15;Car 36 Inspection Bay 34
Electrical Inspection;2024-08-13;09:00;10:45;Car 92 Inspection Bay 2
Electrical Inspection;2024-08-13;09:00;10:45;Car 54 Inspection Bay 3
Electrical Inspection;2024-08-13;09:00;10:45;Car 240 Inspection Bay 4
Electrical Inspection;2024-08-13;09:00;10:45;Car 33 Inspection Bay 13
Electrical Inspection;2024-08-13;09:00;10:45;Car 22 Inspection Bay 14
Electrical Inspection;2024-08-13;09:00;10:45;Car 59 Inspection Bay 24
Electrical Inspection;2024-08-13;09:00;10:45;Car 24 Inspection Bay 25
Electrical Inspection;2024-08-13;09:00;10:45;Car 90 Inspection Bay 35
Electrical Inspection;2024-08-13;09:00;10:45;Car 63 Inspection Bay 36
Electrical Inspection;2024-08-13;09:00;10:45;Car 44 Inspection Bay 37
Accumulator Inspection;2024-08-13;09:00;10:45;Car 79 Inspection Bay 15
Accumulator Inspection;2024-08-13;09:00;10:45;Car 107 Inspection Bay 16
Accumulator Inspection;2024-08-13;09:00;10:45;Car 141 Inspection Bay 26
Accumulator Inspection;2024-08-13;09:00;10:45;Car 268 Inspection Bay 27
Accumulator Inspection;2024-08-13;09:00;10:45;Car 123 Inspection Bay 38
Accumulator Inspection;2024-08-13;09:00;10:45;Car 187 Inspection Bay 39
Mechanical Inspection;2024-08-13;10:30;11:45;Car 20 Inspection Bay 1
Mechanical Inspection;2024-08-13;10:30;11:45;Car 133 Inspection Bay 11
Mechanical Inspection;2024-08-13;10:30;11:45;Car 52 Inspection Bay 12
Mechanical Inspection;2024-08-13;10:30;11:45;Car 69 Inspection Bay 22
Mechanical Inspection;2024-08-13;10:30;11:45;Car 399 Inspection Bay 23
Mechanical Inspection;2024-08-13;10:30;11:45;Car 74 Inspection Bay 33
Mechanical Inspection;2024-08-13;10:30;11:45;Car 171 Inspection Bay 34
Electrical Inspection;2024-08-13;11:00;12:45;Car 71 Inspection Bay 2
Electrical Inspection;2024-08-13;11:00;12:45;Car 99 Inspection Bay 3
Electrical Inspection;2024-08-13;11:00;12:45;Car 31 Inspection Bay 4
Electrical Inspection;2024-08-13;11:00;12:45;Car 15 Inspection Bay 13
Electrical Inspection;2024-08-13;11:00;12:45;Car 49 Inspection Bay 14
Electrical Inspection;2024-08-13;11:00;12:45;Car 313 Inspection Bay 24
Electrical Inspection;2024-08-13;11:00;12:45;Car 41 Inspection Bay 25
Electrical Inspection;2024-08-13;11:00;12:45;Car 340 Inspection Bay 35
Electrical Inspection;2024-08-13;11:00;12:45;Car 114 Inspection Bay 36
Electrical Inspection;2024-08-13;11:00;12:45;Car 124 Inspection Bay 37
Accumulator Inspection;2024-08-13;11:00;12:45;Car 80 Inspection Bay 15
Accumulator Inspection;2024-08-13;11:00;12:45;Car 70 Inspection Bay 16
Accumulator Inspection;2024-08-13;11:00;12:45;Car 181 Inspection Bay 26
Accumulator Inspection;2024-08-13;11:00;12:45;Car 249 Inspection Bay 27
Accumulator Inspection;2024-08-13;11:00;12:45;Car 127 Inspection Bay 38
Mechanical Inspection;2024-08-13;12:00;13:15;Car 29 Inspection Bay 1
Mechanical Inspection;2024-08-13;12:00;13:15;Car 34 Inspection Bay 11
Mechanical Inspection;2024-08-13;12:00;13:15;Car 47 Inspection Bay 12
Mechanical Inspection;2024-08-13;12:00;13:15;Car 48 Inspection Bay 22
Mechanical Inspection;2024-08-13;12:00;13:15;Car 98 Inspection Bay 23
Mechanical Inspection;2024-08-13;12:00;13:15;Car 46 Inspection Bay 33
Mechanical Inspection;2024-08-13;12:00;13:15;Car 60 Inspection Bay 34
Electrical Inspection;2024-08-13;13:45;15:30;Car 13 Inspection Bay 2
Electrical Inspection;2024-08-13;13:45;15:30;Car 66 Inspection Bay 3
Electrical Inspection;2024-08-13;13:45;15:30;Car 50 Inspection Bay 4
Electrical Inspection;2024-08-13;13:45;15:30;Car 78 Inspection Bay 5
Electrical Inspection;2024-08-13;13:45;15:30;Car 42 Inspection Bay 13
Electrical Inspection;2024-08-13;13:45;15:30;Car 95 Inspection Bay 14
Electrical Inspection;2024-08-13;13:45;15:30;Car 172 Inspection Bay 15
Electrical Inspection;2024-08-13;13:45;15:30;Car 297 Inspection Bay 16
Electrical Inspection;2024-08-13;13:45;15:30;Car 96 Inspection Bay 24
Electrical Inspection;2024-08-13;13:45;15:30;Car 51 Inspection Bay 25
Electrical Inspection;2024-08-13;13:45;15:30;Car 85 Inspection Bay 26
Electrical Inspection;2024-08-13;13:45;15:30;Car 62 Inspection Bay 27
Electrical Inspection;2024-08-13;13:45;15:30;Car 43 Inspection Bay 35
Electrical Inspection;2024-08-13;13:45;15:30;Car 35 Inspection Bay 36
Electrical Inspection;2024-08-13;13:45;15:30;Car 11 Inspection Bay 37
Electrical Inspection;2024-08-13;13:45;15:30;Car 200 Inspection Bay 38
Electrical Inspection;2024-08-13;13:45;15:30;Car 67 Inspection Bay 39
Mechanical Inspection;2024-08-13;14:15;15:30;Car 28 Inspection Bay 1
Mechanical Inspection;2024-08-13;14:15;15:30;Car 26 Inspection Bay 11
Mechanical Inspection;2024-08-13;14:15;15:30;Car 72 Inspection Bay 12
Mechanical Inspection;2024-08-13;14:15;15:30;Car 77 Inspection Bay 22
Mechanical Inspection;2024-08-13;14:15;15:30;Car 94 Inspection Bay 23
Mechanical Inspection;2024-08-13;14:15;15:30;Car 167 Inspection Bay 33
Mechanical Inspection;2024-08-13;14:15;15:30;Car 65 Inspection Bay 34
Mechanical Inspection;2024-08-13;15:45;17:00;Car 115 Inspection Bay 1
Mechanical Inspection;2024-08-13;15:45;17:00;Car 130 Inspection Bay 11
Mechanical Inspection;2024-08-13;15:45;17:00;Car 79 Inspection Bay 12
Mechanical Inspection;2024-08-13;15:45;17:00;Car 107 Inspection Bay 22
Mechanical Inspection;2024-08-13;15:45;17:00;Car 141 Inspection Bay 23
Mechanical Inspection;2024-08-13;15:45;17:00;Car 268 Inspection Bay 33
Mechanical Inspection;2024-08-13;15:45;17:00;Car 123 Inspection Bay 34
Electrical Inspection;2024-08-13;15:45;17:30;Car 111 Inspection Bay 2
Electrical Inspection;2024-08-13;15:45;17:30;Car 84 Inspection Bay 3
Electrical Inspection;2024-08-13;15:45;17:30;Car 23 Inspection Bay 4
Electrical Inspection;2024-08-13;15:45;17:30;Car 25 Inspection Bay 5
Electrical Inspection;2024-08-13;15:45;17:30;Car 140 Inspection Bay 13
Electrical Inspection;2024-08-13;15:45;17:30;Car 100 Inspection Bay 14
Electrical Inspection;2024-08-13;15:45;17:30;Car 40 Inspection Bay 15
Electrical Inspection;2024-08-13;15:45;17:30;Car 76 Inspection Bay 16
Electrical Inspection;2024-08-13;15:45;17:30;Car 173 Inspection Bay 24
Electrical Inspection;2024-08-13;15:45;17:30;Car 224 Inspection Bay 25
Electrical Inspection;2024-08-13;15:45;17:30;Car 122 Inspection Bay 26
Electrical Inspection;2024-08-13;15:45;17:30;Car 36 Inspection Bay 27
Electrical Inspection;2024-08-13;15:45;17:30;Car 20 Inspection Bay 35
Electrical Inspection;2024-08-13;15:45;17:30;Car 133 Inspection Bay 36
Electrical Inspection;2024-08-13;15:45;17:30;Car 52 Inspection Bay 37
Electrical Inspection;2024-08-13;15:45;17:30;Car 69 Inspection Bay 38
Electrical Inspection;2024-08-13;15:45;17:30;Car 399 Inspection Bay 39
Mechanical Inspection;2024-08-13;17:30;18:45;Car 187 Inspection Bay 1
Mechanical Inspection;2024-08-13;17:30;18:45;Car 80 Inspection Bay 11
Mechanical Inspection;2024-08-13;17:30;18:45;Car 70 Inspection Bay 12
Mechanical Inspection;2024-08-13;17:30;18:45;Car 181 Inspection Bay 22
Mechanical Inspection;2024-08-13;17:30;18:45;Car 249 Inspection Bay 23
Mechanical Inspection;2024-08-13;17:30;18:45;Car 127 Inspection Bay 33
Electrical Inspection;2024-08-14;09:00;10:45;Car 74 Inspection Bay 2
Electrical Inspection;2024-08-14;09:00;10:45;Car 171 Inspection Bay 3
Electrical Inspection;2024-08-14;09:00;10:45;Car 29 Inspection Bay 4
Electrical Inspection;2024-08-14;09:00;10:45;Car 34 Inspection Bay 5
Electrical Inspection;2024-08-14;09:00;10:45;Car 47 Inspection Bay 13
Electrical Inspection;2024-08-14;09:00;10:45;Car 48 Inspection Bay 14
Electrical Inspection;2024-08-14;09:00;10:45;Car 98 Inspection Bay 15
Electrical Inspection;2024-08-14;09:00;10:45;Car 46 Inspection Bay 16
