"day","time","ord","car","what","duration","place"
"Wed","09:00-09:30 ","FSG39","84 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","09:00-09:30 ","FSG75","141 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","09:00-10:45 ","FSG55","74 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Wed","09:00-10:45 ","FSG56","171 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Wed","09:00-10:45 ","FSG57","29 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Wed","09:00-10:45 ","FSG58","34 ","Electrical Inspection ","01:45","Inspection Bay 5 "
"Wed","09:00-10:45 ","FSG59","47 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Wed","09:00-10:45 ","FSG60","48 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Wed","09:00-10:45 ","FSG61","98 ","Electrical Inspection ","01:45","Inspection Bay 15 "
"Wed","09:00-10:45 ","FSG62","46 ","Electrical Inspection ","01:45","Inspection Bay 16 "
"Wed","09:00-10:45 ","FSG63","60 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Wed","09:00-10:45 ","FSG64","28 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Wed","09:00-10:45 ","FSG65","26 ","Electrical Inspection ","01:45","Inspection Bay 26 "
"Wed","09:00-10:45 ","FSG66","72 ","Electrical Inspection ","01:45","Inspection Bay 27 "
"Wed","09:00-10:45 ","FSG67","77 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Wed","09:00-10:45 ","FSG68","94 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Wed","09:00-10:45 ","FSG69","167 ","Electrical Inspection ","01:45","Inspection Bay 37 "
"Wed","09:45-10:15 ","FSG41","25 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","09:45-10:15 ","FSG43","100 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","09:45-10:15 ","FSG44","40 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","09:45-10:15 ","FSG78","187 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","10:30-11:00 ","FSG45","76 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","10:30-11:00 ","FSG46","173 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","10:30-11:00 ","FSG47","224 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","10:30-11:00 ","FSG48","122 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","11:00-12:45 ","FSG70","65 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Wed","11:00-12:45 ","FSG71","115 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Wed","11:00-12:45 ","FSG72","130 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Wed","11:00-12:45 ","FSG73","79 ","Electrical Inspection ","01:45","Inspection Bay 5 "
"Wed","11:00-12:45 ","FSG74","107 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Wed","11:00-12:45 ","FSG75","141 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Wed","11:00-12:45 ","FSG76","268 ","Electrical Inspection ","01:45","Inspection Bay 15 "
"Wed","11:00-12:45 ","FSG77","123 ","Electrical Inspection ","01:45","Inspection Bay 16 "
"Wed","11:00-12:45 ","FSG78","187 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Wed","11:00-12:45 ","FSG79","80 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Wed","11:00-12:45 ","FSG80","70 ","Electrical Inspection ","01:45","Inspection Bay 26 "
"Wed","11:00-12:45 ","FSG81","181 ","Electrical Inspection ","01:45","Inspection Bay 27 "
"Wed","11:00-12:45 ","FSG82","249 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Wed","11:00-12:45 ","FSG83","127 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Wed","11:15-11:45 ","FSG49","36 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","11:15-11:45 ","FSG50","20 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","11:15-11:45 ","FSG51","133 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","11:15-11:45 ","FSG52","52 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","12:00-12:30 ","FSG53","69 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","12:00-12:30 ","FSG54","399 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","12:00-12:30 ","FSG63","60 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","12:00-12:30 ","FSG64","28 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","13:30-14:00 ","FSG65","26 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","13:30-14:00 ","FSG66","72 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","13:30-14:00 ","FSG67","77 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","13:30-14:00 ","FSG68","94 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","14:15-14:45 ","FSG69","167 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","14:15-14:45 ","FSG70","65 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","14:15-14:45 ","FSG71","115 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","14:15-14:45 ","FSG72","130 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","15:00-15:30 ","FSG40","23 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","15:00-15:30 ","FSG73","79 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","15:00-15:30 ","FSG74","107 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","15:00-15:30 ","FSG76","268 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","16:00-16:30 ","FSG42","140 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","16:00-16:30 ","FSG77","123 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","16:00-16:30 ","FSG79","80 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Wed","16:00-16:30 ","FSG80","70 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Wed","16:45-17:15 ","FSG81","181 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Wed","16:45-17:15 ","FSG82","249 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Wed","16:45-17:15 ","FSG83","127 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
